,bandwidth,delay,buffer_size,algorithm,bytes_sent,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
99,20,10,50000,cubic,24903680,10.000587,19921774.59183146,0,0.23897889351716722,1.9151766337751581
100,20,25,100,bbr,17310840,10.000158,13848453.194439527,55,0.2914358026987832,1.3118677330171615
101,20,25,100,cubic,7942280,10.000258,6353660.07557005,48,0.2770999296137866,0.5803673561142134
102,20,25,1000,bbr,2746856,10.00104,2197256.285346324,2,0.2727539987587243,0.18912904278068407
103,20,25,1000,cubic,25165824,10.000144,20132369.293882165,37,0.3394416596527138,1.6500168249709055
104,20,25,10000,bbr,3547600,10.001035,2837786.289119076,0,0.26549980454518324,0.24355100259382964
105,20,25,10000,cubic,23986176,10.000321,19188324.85477216,0,0.2961504597974464,1.668956726168812
106,20,25,20000,bbr,3551944,10.001052,2841256.2998372572,0,0.2703335149414947,0.2727385366277623
107,20,25,20000,cubic,24510464,10.000147,19608082.96118047,0,0.36595892037614164,1.854965979846891
108,20,25,50000,bbr,3547600,10.001035,2837786.289119076,0,0.2686729799834571,0.255742897232586
109,20,25,50000,cubic,23986176,10.000341,19188286.47943105,0,0.2943449226738247,1.9607747822145054
110,20,50,100,bbr,21104600,10.000161,16883408.17712835,218,0.5318170786074536,1.4528465133062374
111,20,50,100,cubic,5461856,10.001045,4369028.23654928,201,0.5174413846269205,0.4167400160170187
112,20,50,1000,bbr,4829080,10.001047,3862859.5586042143,0,0.513253444029214,0.33196102184919374
113,20,50,1000,cubic,23330816,10.000305,18664083.54545186,31,0.5394964680027466,1.7015490381048566
114,20,50,10000,bbr,4503280,10.001044,3602247.925316597,0,0.5103592098430284,0.2848804720443272
115,20,50,10000,cubic,23592960,10.000165,18874056.57806646,0,0.5445433820345186,1.6244738791160551
116,20,50,20000,bbr,5085376,10.001035,4067879.774443345,0,0.513766402915734,0.36825733243464065
117,20,50,20000,cubic,23199744,10.000115,18559581.7648097,0,0.527011508618598,1.5740744263554978
118,20,50,50000,bbr,4645184,10.001047,3715758.1601206353,0,0.5124546314158154,0.2818864369489934
119,20,50,50000,cubic,22806528,10.000561,18244198.900441688,0,0.5354333764972133,1.7983999648193945
120,20,75,100,bbr,20709376,10.000105,16567326.843068149,409,0.7695310289274045,1.32910261038181
121,20,75,100,cubic,7587520,10.000702,6069589.914787982,276,0.7545665038053025,0.502097096862168
122,20,75,1000,bbr,7738112,10.001031,6189851.426317947,0,0.7304999653968592,0.4955019063527614
123,20,75,1000,cubic,19791872,10.000839,15832169.280997327,22,0.8469849560360284,1.5313128608246753
124,20,75,10000,bbr,5228728,10.001034,4182549.9243378234,0,0.7506968260297475,0.28537158832171367
125,20,75,10000,cubic,23461888,10.000213,18769110.61794384,0,0.773594526277821,1.7248028746433
126,20,75,20000,bbr,9385936,10.001036,7507970.9742070725,0,0.7572863367572875,0.5544314378956517
127,20,75,20000,cubic,19660800,10.000445,15727940.106665256,0,0.7671510632366223,1.4182341112924264
128,20,75,50000,bbr,8993528,10.001047,7194069.180956754,0,0.7567041013245815,0.6090314913844325
129,20,75,50000,cubic,19398656,10.000557,15518060.444033267,0,0.7988107960154096,1.5033249004315166
130,20,100,100,bbr,23330816,10.000075,18664512.816153876,353,1.03766395293311,1.3867799965363539
131,20,100,100,cubic,5593624,10.00102,4474442.806833703,259,0.9836275798318423,0.2791975764415667
132,20,100,1000,bbr,7982824,10.000649,6385844.758675163,4,0.9864921490428802,0.4065670428929331
133,20,100,1000,cubic,21364736,10.000242,17091375.18872043,18,1.0061630067705596,1.3895000182262447
134,20,100,10000,bbr,7471680,10.001053,5976714.65194715,0,0.9858627608828866,0.46531921678582544
135,20,100,10000,cubic,20316160,10.000611,16251935.006771088,0,1.0510676505535326,1.5653302350919465
136,20,100,20000,bbr,7982824,10.000422,6385989.711234186,0,0.9841102808020432,0.4153205202014159
137,20,100,20000,cubic,20709376,10.000546,16566596.263843995,0,0.9997798498171985,1.2668185470416018
138,20,100,50000,bbr,12976128,10.001037,10379826.01204255,0,0.9908834416889304,0.6951017504982117
139,20,100,50000,cubic,16515072,10.000418,13211505.359075991,0,0.9978378049971584,0.9460137320742678
140,20,150,100,bbr,21102592,10.000499,16881231.2265618,803,1.449772123420736,0.8946300696661103
141,20,150,100,cubic,5946936,10.001028,4757059.774255207,349,1.4359286425161488,0.2016921766520767
142,20,150,1000,bbr,10747904,10.001036,8597432.50599238,23,1.4400907968415013,0.592415336812019
