,bandwidth,delay,buffer_size,algorithm,bytes_sent,bytes_received,loss_rate,time_elapsed,goodput,retransmits,host_cpu,remote_cpu
37,10,200,10000,cubic,53477376,52759080,0.013431773466222426,60.000303,7130280.792082,24,0.361797590187068,0.768989795737742
38,10,200,1000,bbr,31326208,28741352,0.08251416832832113,60.001048,4176754.779349854,370,0.3519348720905836,0.38827371191696475
39,10,200,1000,cubic,46399488,43338640,0.06596727963894775,60.000096,6186588.501458398,369,0.343957128991341,0.5834389703651047
40,10,200,100,bbr,60555264,57252472,0.05454178186722132,60.000149,8074015.149529045,796,0.369756334430802,0.7550585233229563
41,10,200,100,cubic,12966840,12047360,0.07091010608598548,60.001045,1728881.8886404396,191,0.33994617457227877,0.183107667378094
42,10,50,10000,bbr,8094320,5506744,0.3196779964221825,60.001038,1079223.9960915342,0,0.09133883803702823,0.11609902995287134
43,10,50,10000,cubic,68419584,68419584,0.0,60.000874,9122478.315899197,0,0.15081252840961235,1.0123501899793141
44,10,50,1000,bbr,10736920,8414328,0.21631827376938637,60.001041,1431564.4956893332,70,0.0934411408516482,0.1500777502793884
45,10,50,1000,cubic,66191360,64005944,0.03301663540377475,60.000947,8825375.372825366,243,0.125686313531856,0.8557865254961213
46,10,50,100,bbr,48467456,47533496,0.019269837476099425,60.000118,6462314.757447643,121,0.11589924796798,0.695742919591068
47,10,50,100,cubic,24533464,24061416,0.019240984477365282,60.000647,3271093.2600443456,109,0.0995352182701094,0.37596477798932015
48,10,5,10000,bbr,3262344,2315352,0.29027962716378164,60.001053,434971.56624901237,0,0.017636837979852653,0.05460995158736295
49,10,5,10000,cubic,71958528,71958248,3.891130179872496e-06,60.000683,9594361.18418852,0,0.04253624373362625,1.0524261512372186
50,10,5,1000,bbr,5577696,4338208,0.2222222222222222,60.001031,743680.0210983042,19,0.0174823406951691,0.11169632231380491
51,10,5,1000,cubic,71041024,67379784,0.051536982349803966,60.000124,9472116.957624955,246,0.04568303711852132,0.938549047681437
52,10,5,100,bbr,36562000,35667136,0.024475247524752476,60.000472,4874894.9841594575,345,0.0293894139331013,0.5297286414066937
53,10,5,100,cubic,36601096,36111672,0.01337184001265973,60.000599,4880097.413694154,140,0.03195349887063983,0.577841985031873
